200 269
1 2 972
2 3 4759
3 4 -5781
4 5 6886
5 6 3617
6 7 5416
7 8 2801
8 9 9895
9 10 -1835
10 11 -8982
11 12 8087
12 13 1810
13 14 -3404
14 15 4129
15 16 1713
16 17 -7846
17 18 -8364
18 19 4078
19 20 -3320
20 21 9930
21 22 -2871
22 23 6112
23 24 5746
24 25 -1181
25 26 -6966
26 27 -6580
27 28 -9858
28 29 -8342
29 30 -4527
30 31 2133
31 32 -3209
32 33 5643
33 34 1593
34 35 -5500
35 36 -9591
36 37 545
37 38 597
38 39 7629
39 40 -6847
40 41 -3496
41 42 -1150
42 43 -3260
43 44 969
44 45 -2502
45 46 9666
46 47 -6583
47 48 1423
48 49 8209
49 50 4473
50 51 -8202
51 52 -2527
52 53 2085
53 54 -6508
54 55 -2295
55 56 1999
56 57 -8569
57 58 -4763
58 59 -9235
59 60 1103
60 61 -1052
61 62 -3141
62 63 -4292
63 64 8816
64 65 -9842
65 66 -4491
66 67 -924
67 68 -6191
68 69 -2530
69 70 -9728
70 71 -6458
71 72 9446
72 73 4517
73 74 8360
74 75 7442
75 76 -1661
76 77 -2261
77 78 904
78 79 8385
79 80 1851
80 81 -3571
81 82 -5299
82 83 2526
83 84 7409
84 85 -7790
85 86 6117
86 87 -3576
87 88 -5129
88 89 236
89 90 -7742
90 91 -8248
91 92 1386
92 93 -6424
93 94 -1385
94 95 -7716
95 96 5508
96 97 -8199
97 98 -4354
98 99 -3008
99 100 6281
100 101 3961
101 102 -853
102 103 8635
103 104 7394
104 105 -9122
105 106 9193
106 107 5592
107 108 3854
108 109 2486
109 110 1282
110 111 8018
111 112 -6826
112 113 3236
113 114 5746
114 115 5146
115 116 4385
116 117 6990
117 118 -3862
118 119 3950
119 120 -6569
120 121 2344
121 122 5504
122 123 -2659
123 124 -7783
124 125 -9790
125 126 4839
126 127 628
127 128 -2241
128 129 7387
129 130 -7839
130 131 8091
131 132 -3226
132 133 -7186
133 134 -3830
134 135 4890
135 136 3078
136 137 -3103
137 138 9286
138 139 -9621
139 140 829
140 141 3615
141 142 -9533
142 143 5917
143 144 -7876
144 145 -7888
145 146 9011
146 147 6849
147 148 2741
148 149 1129
149 150 1563
150 151 -7285
151 152 558
152 153 758
153 154 1997
154 155 -1976
155 156 3200
156 157 6266
157 158 8415
158 159 1578
159 160 -3970
160 161 5721
161 162 9458
162 163 -840
163 164 2088
164 165 -7637
165 166 -1875
166 167 913
167 168 -8892
168 169 5900
169 170 -6906
170 171 -3404
171 172 -870
172 173 5258
173 174 9026
174 175 9262
175 176 -376
176 177 -5208
177 178 -3897
178 179 -8419
179 180 8263
180 181 5605
181 182 -1134
182 183 -161
183 184 -3542
184 185 3889
185 186 2577
186 187 -4487
187 188 4426
188 189 4314
189 190 9654
190 191 4734
191 192 7686
192 193 -3737
193 194 -1417
194 195 7750
195 196 -8276
196 197 -5275
197 198 1446
198 199 6545
199 200 -4696
2 114 1350
4 47 3480
6 186 -6306
9 15 -6343
13 19 798
14 167 9364
16 110 5287
17 53 -7325
18 94 7326
19 124 5573
20 55 1863
24 104 -4663
29 150 -3973
31 79 2188
35 105 9869
38 86 -1331
44 25 7845
48 181 -8270
52 44 -5523
54 109 -6810
59 108 -5301
61 184 4191
65 93 3717
69 5 4168
72 36 -3196
76 22 -2964
79 163 7519
85 130 -2654
88 29 -7078
90 174 7743
94 98 -9778
96 50 7693
98 158 -9324
104 84 -1120
105 111 -3169
111 63 -1049
112 152 -5778
113 16 -7627
118 5 7251
123 168 -8364
127 67 2039
128 117 1975
133 116 1053
134 194 5928
137 117 5511
138 122 -4079
147 81 1960
148 182 -488
150 113 9609
151 156 7011
156 63 -4852
162 86 2413
163 12 1121
167 86 7385
168 7 -1356
170 193 2013
173 21 7128
177 167 -3575
180 59 3469
181 100 -7388
184 128 -2725
186 40 8035
187 22 9175
191 2 -7335
192 144 -5305
194 121 -5194
195 16 4062
197 111 1716
198 74 7772
199 74 7546
