100 133
1 2 -1849
2 3 16
3 4 381
4 5 -2260
5 6 7830
6 7 926
7 8 6686
8 9 -2033
9 10 9236
10 11 1444
11 12 3462
12 13 1041
13 14 -1263
14 15 -2810
15 16 7933
16 17 4909
17 18 -6565
18 19 4610
19 20 -4403
20 21 -1469
21 22 4336
22 23 -1124
23 24 -5464
24 25 -4799
25 26 5733
26 27 4811
27 28 2078
28 29 -5506
29 30 5455
30 31 5194
31 32 -8728
32 33 1168
33 34 893
34 35 5226
35 36 8561
36 37 424
37 38 5356
38 39 3876
39 40 -3804
40 41 5976
41 42 -7224
42 43 -3743
43 44 1577
44 45 -5994
45 46 3301
46 47 9741
47 48 4784
48 49 -7557
49 50 8226
50 51 6872
51 52 737
52 53 2085
53 54 -2919
54 55 5884
55 56 -6669
56 57 4612
57 58 7390
58 59 -6483
59 60 -2773
60 61 6272
61 62 -2773
62 63 2716
63 64 9293
64 65 2939
65 66 -1010
66 67 -9803
67 68 7251
68 69 -6434
69 70 66
70 71 -8843
71 72 4691
72 73 -2903
73 74 -3387
74 75 -2983
75 76 -7498
76 77 7551
77 78 6930
78 79 -6729
79 80 -2482
80 81 -2315
81 82 -8433
82 83 -7306
83 84 4076
84 85 6689
85 86 6973
86 87 -8454
87 88 8490
88 89 -9620
89 90 -8887
90 91 295
91 92 7634
92 93 -474
93 94 3095
94 95 -8441
95 96 -7514
96 97 -4296
97 98 -3797
98 99 4102
99 100 26
3 15 -5745
4 16 9472
7 41 -4642
8 100 -4207
11 12 790
12 72 -3852
13 15 -6616
17 51 -3228
18 1 7981
20 68 6983
21 55 -8388
23 91 7915
25 99 -7839
27 1 -9581
30 48 5569
36 17 5850
37 18 2997
38 57 4046
41 98 -9755
44 87 -6842
51 70 4253
54 63 -8824
55 3 -4859
56 4 -7852
59 45 -3056
67 67 776
75 46 -8005
79 44 -1505
80 23 -2653
87 33 -7628
90 100 -2802
91 18 -3453
95 1 4866
99 11 8237
