100 137
1 2 -330
2 3 -8590
3 4 2463
4 5 -8674
5 6 7207
6 7 -6225
7 8 5489
8 9 -7193
9 10 8946
10 11 4422
11 12 6288
12 13 3789
13 14 -1624
14 15 -2794
15 16 4470
16 17 -7968
17 18 -8815
18 19 9567
19 20 599
20 21 274
21 22 2988
22 23 -7259
23 24 -8185
24 25 -5670
25 26 -33
26 27 -1070
27 28 9462
28 29 5609
29 30 1514
30 31 3576
31 32 6137
32 33 9379
33 34 5336
34 35 -1072
35 36 6021
36 37 -4042
37 38 -8697
38 39 8921
39 40 -7971
40 41 -4512
41 42 -4345
42 43 -6975
43 44 -3885
44 45 -5960
45 46 -6016
46 47 2821
47 48 -3307
48 49 1244
49 50 -2271
50 51 4999
51 52 -6199
52 53 5747
53 54 -9818
54 55 8898
55 56 -8181
56 57 2872
57 58 6158
58 59 -5614
59 60 8374
60 61 1148
61 62 -3911
62 63 1816
63 64 -9908
64 65 -3048
65 66 3378
66 67 -4128
67 68 -8210
68 69 -9161
69 70 5962
70 71 124
71 72 4173
72 73 -9335
73 74 1541
74 75 -9497
75 76 7283
76 77 -8353
77 78 -2341
78 79 -4876
79 80 -908
80 81 1635
81 82 4018
82 83 -3121
83 84 -996
84 85 -6719
85 86 -639
86 87 -8868
87 88 9694
88 89 -3545
89 90 4691
90 91 -8083
91 92 3025
92 93 7907
93 94 -4430
94 95 3147
95 96 -9601
96 97 6185
97 98 306
98 99 7124
99 100 2370
2 10 3750
3 62 -7206
5 76 8714
9 85 8710
10 80 636
12 30 -5566
14 46 -341
18 53 -7477
19 16 -2915
24 41 1186
28 80 2636
29 81 1162
32 51 7522
34 31 -3005
37 33 -3221
39 96 -5029
41 83 9598
46 31 5018
49 79 -4770
54 52 -1382
57 37 -8821
61 25 5245
64 88 1485
66 66 9850
69 24 -4024
71 73 -1074
73 29 -3870
74 86 8995
75 68 8350
79 3 2417
83 87 38
88 29 8154
92 62 -2735
94 58 3270
95 24 -4697
97 8 -8907
98 44 5506
99 25 -6870
